text,emotion
I feel amazing today,positive
I am so happy and excited,positive
This is the best day ever,positive
I love my life and my job,positive
I feel confident and strong,positive
I am very tired and sad,negative
I feel lonely and depressed,negative
I am angry at everything,negative
This is a terrible day,negative
I feel anxious and stressed,negative
I went to the store today,neutral
It is raining outside,neutral
I ate a sandwich for lunch,neutral
The sky is blue,neutral
I am reading a book,neutral
